,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3180,862,Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,Activision,0.31,0.24,0.0,0.08,0.63
3194,862,Monster Hunter 2,PS2,2006,Role-Playing,Capcom,0.0,0.0,0.63,0.0,0.63
3190,862,Tony Hawk's Pro Skater 2x,XB,2001,Sports,Activision,0.41,0.19,0.0,0.03,0.63
3203,862,A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0.0,0.01,0.63
3161,862,TimeSplitters 2,XB,2002,Shooter,Eidos Interactive,0.29,0.33,0.0,0.01,0.63
3182,862,Family Feud: 2010 Edition,Wii,2009,Misc,Ubisoft,0.59,0.0,0.0,0.04,0.63
3204,862,Super Castlevania IV,SNES,1991,Platform,Konami,0.32,0.05,0.25,0.01,0.63
3201,862,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012,Misc,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63
3185,862,Nightmare Creatures,PS,1997,Action,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.63
3197,862,Dogz,GBA,2004,Simulation,Ubisoft,0.45,0.17,0.0,0.01,0.63
3173,862,Start the Party!,PS3,2010,Misc,Sony Computer Entertainment,0.07,0.42,0.0,0.14,0.63
3151,862,X2: Wolverine's Revenge,PS2,2003,Platform,Activision,0.31,0.24,0.0,0.08,0.63
3191,862,Sim Theme Park,PS,1999,Strategy,Electronic Arts,0.35,0.24,0.0,0.04,0.63
3187,863,Just Dance 2015,X360,2014,Misc,Ubisoft,0.41,0.16,0.0,0.06,0.6299999999999999
3231,863,LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0.0,0.06,0.6299999999999999
3202,863,Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,0.21,0.35,0.0,0.07,0.6299999999999999
3241,864,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.3,0.26,0.0,0.06,0.6200000000000001
3243,864,Wild ARMs 3,PS2,2002,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.6200000000000001
3492,864,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,0.28,0.22,0.05,0.07,0.6200000000000001
3252,864,Evolve,XOne,2015,Shooter,Take-Two Interactive,0.36,0.2,0.0,0.06,0.6200000000000001
3276,864,Wall-E,X360,2008,Platform,THQ,0.29,0.26,0.0,0.07,0.6200000000000001
3233,864,MySims Racing,DS,2009,Racing,Electronic Arts,0.26,0.29,0.0,0.07,0.6200000000000001
3259,864,Beetle Adventure Racing!,N64,1999,Racing,Electronic Arts,0.4,0.2,0.0,0.02,0.6200000000000001
3227,864,Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,0.4,0.17,0.0,0.05,0.6200000000000001
3225,864,Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,Ghostlight,0.18,0.06,0.34,0.04,0.6200000000000001
3291,864,Disney Sing It: Family Hits,Wii,2010,Misc,Disney Interactive Studios,0.39,0.18,0.0,0.05,0.6200000000000001
3220,864,Battle of Giants: Dragons,DS,2009,Strategy,Ubisoft,0.31,0.25,0.0,0.06,0.6200000000000001
3290,864,Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.11,0.34,0.05,0.6200000000000001
3270,865,XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,0.3,0.24,0.0,0.08,0.62
3260,865,FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62
3262,865,Wipeout: The Game,DS,2010,Misc,Activision,0.58,0.0,0.0,0.04,0.62
3263,865,Strike Force Bowling,PS2,2004,Sports,Play It,0.3,0.24,0.0,0.08,0.62
3264,865,SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.57,0.01,0.0,0.04,0.62
3266,865,Halloween,Atari 2600,1982,Action,Wizard Video Games,0.58,0.03,0.0,0.01,0.62
3267,865,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.08,0.62
3268,865,WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ,0.25,0.23,0.0,0.14,0.62
3269,865,Bass Landing,PS,1999,Sports,ASCII Entertainment,0.21,0.14,0.23,0.04,0.62
3279,865,Dragon Quest Monsters: Joker 2 Professional,DS,2011,Role-Playing,Square Enix,0.0,0.0,0.62,0.0,0.62
3271,865,Mario's Picross,GB,1995,Puzzle,Nintendo,0.0,0.0,0.62,0.0,0.62
3281,865,Super Robot Taisen Alpha Gaiden,PS,2001,Strategy,Banpresto,0.0,0.0,0.58,0.04,0.62
3272,865,Pac-Man Player's Choice Bundle,GC,2003,Misc,Namco Bandai Games,0.48,0.12,0.0,0.02,0.62
3287,865,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.11,0.62
3273,865,Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.34,0.17,0.0,0.11,0.62
3274,865,Fighters MEGAMiX,SAT,1996,Fighting,Sega,0.0,0.0,0.62,0.0,0.62
3275,865,Bahamut Lagoon,SNES,1996,Role-Playing,SquareSoft,0.0,0.0,0.62,0.0,0.62
3277,865,Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,0.59,0.03,0.0,0.0,0.62
3258,865,The Urbz: Sims in the City,GBA,2004,Simulation,Electronic Arts,0.37,0.22,0.0,0.03,0.62
3278,865,Toshochu: Run for Money,3DS,2012,Adventure,Namco Bandai Games,0.0,0.0,0.62,0.0,0.62
3289,865,Samurai Warriors 2,PS2,2006,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.62
3205,865,DJ Hero 2,Wii,2010,Misc,Activision,0.49,0.09,0.0,0.04,0.62
3257,865,Viewtiful Joe,GC,2003,Action,Capcom,0.38,0.1,0.12,0.02,0.62
3248,865,Battlezone,Atari 2600,1982,Shooter,Atari,0.58,0.03,0.0,0.01,0.62
3199,865,Guitar Hero: Metallica,PS3,2009,Misc,Activision,0.28,0.24,0.0,0.1,0.62
3198,865,Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.3,0.23,0.0,0.09,0.62
3230,865,World of Zoo,Wii,2009,Simulation,THQ,0.41,0.16,0.0,0.05,0.62
3236,865,Nobunaga no Yabou: Haouden,SNES,1993,Strategy,Tecmo Koei,0.3,0.0,0.32,0.0,0.62
3237,865,Virtua Cop,SAT,1995,Shooter,Sega,0.0,0.0,0.62,0.0,0.62
3213,865,Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.62
3245,865,Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62
3247,865,Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.42,0.0,0.05,0.62
3214,865,Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,0.43,0.05,0.0,0.14,0.62
3249,865,Tiger Woods PGA Tour 2004,XB,2003,Sports,Electronic Arts,0.47,0.13,0.0,0.02,0.62
3255,865,Warriors Orochi 3,PS3,2011,Action,Ubisoft,0.0,0.04,0.57,0.01,0.62
3253,865,Tak 2: The Staff of Dreams,PS2,2004,Platform,THQ,0.3,0.24,0.0,0.08,0.62
3254,865,Dead Island: Riptide,PS3,2013,Action,Deep Silver,0.26,0.2,0.07,0.09,0.62
3256,866,Bolt,DS,2008,Adventure,Disney Interactive Studios,0.35,0.21,0.0,0.06,0.6199999999999999
3309,867,Duke Nukem: Total Meltdown,PS,1997,Shooter,GT Interactive,0.34,0.23,0.0,0.04,0.6100000000000001
3296,867,Tony Hawk: RIDE,X360,2009,Sports,Activision,0.46,0.1,0.0,0.05,0.6100000000000001
3347,867,WarioWare D.I.Y.,DS,2009,Misc,Nintendo,0.18,0.19,0.2,0.04,0.6100000000000001
3297,867,Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.33,0.23,0.0,0.05,0.6100000000000001
3298,867,Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,0.5,0.07,0.0,0.04,0.6100000000000001
3305,867,Small Soldiers,PS,1998,Platform,Electronic Arts,0.34,0.23,0.0,0.04,0.6100000000000001
3307,867,Littlest Pet Shop: Garden,DS,2008,Simulation,Electronic Arts,0.31,0.24,0.0,0.06,0.6100000000000001
3312,867,Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.6100000000000001
3362,867,Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.4,0.15,0.0,0.06,0.6100000000000001
3314,867,Major League Baseball 2K9,X360,2009,Sports,Spike,0.56,0.0,0.0,0.05,0.6100000000000001
3315,867,Petz: Dogz Pack,DS,2008,Simulation,Ubisoft,0.56,0.0,0.0,0.05,0.6100000000000001
3349,867,LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.31,0.22,0.03,0.05,0.6100000000000001
3335,867,Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,0.19,0.11,0.25,0.06,0.6100000000000001
3319,867,Tomb Raider Chronicles,PS,1999,Action,Eidos Interactive,0.34,0.23,0.0,0.04,0.6100000000000001
3327,867,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,0.51,0.05,0.0,0.05,0.6100000000000001
3331,867,Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.24,0.0,0.06,0.6100000000000001
3316,867,Split/Second,X360,2010,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.6100000000000001
3346,867,The Golden Compass,Wii,2007,Action,Sega,0.26,0.28,0.0,0.07,0.6100000000000001
3284,867,NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.6100000000000001
3261,867,Disney's 102 Dalmatians: Puppies to the Rescue,PS,2000,Platform,Eidos Interactive,0.34,0.23,0.0,0.04,0.6100000000000001
3288,867,NFL Fever 2003,XB,2002,Sports,Microsoft Game Studios,0.46,0.13,0.0,0.02,0.6100000000000001
3265,867,Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami,0.14,0.14,0.27,0.06,0.6100000000000001
3283,867,Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,0.33,0.13,0.11,0.04,0.6100000000000001
4922,867,Yoshi Touch & Go,DS,2005,Platform,Nintendo,0.34,0.02,0.22,0.03,0.6100000000000001
3322,868,Madden NFL 2002,GC,2001,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61
3293,868,Robotech: Battlecry,PS2,2002,Shooter,TDK Mediactive,0.3,0.23,0.0,0.08,0.61
2567,868,ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.0,0.5,0.0,0.11,0.61
3320,868,Harry Potter and the Goblet of Fire,GBA,2005,Action,Electronic Arts,0.44,0.16,0.0,0.01,0.61
3321,868,Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,0.44,0.16,0.0,0.01,0.61
3292,868,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,0.44,0.16,0.0,0.01,0.61
2570,868,The Sims 2: Pets,PSP,2006,Simulation,Electronic Arts,0.0,0.39,0.0,0.22,0.61
3280,868,NFL Quarterback Club 99,N64,1998,Sports,Acclaim Entertainment,0.59,0.02,0.0,0.0,0.61
3338,868,Wave Race: Blue Storm,GC,2001,Racing,Nintendo,0.4,0.1,0.09,0.02,0.61
3339,868,Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.61
4119,868,Harvest Moon DS,DS,2005,Simulation,Rising Star Games,0.41,0.07,0.13,0.0,0.61
3348,868,Tony Hawk: RIDE,PS3,2009,Sports,Activision,0.38,0.15,0.0,0.08,0.61
3232,868,Wet,PS3,2009,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.61
3318,868,Madden NFL 2003,GBA,2002,Sports,Electronic Arts,0.44,0.16,0.0,0.01,0.61
3301,868,Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,0.58,0.0,0.0,0.03,0.61
3308,868,Half-Life 2,XB,2005,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61
3302,868,Ganbaru Watashi no Kakei Diary,DS,2007,Misc,Nintendo,0.0,0.0,0.61,0.0,0.61
3300,868,Time Crisis 3,PS2,2003,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61
3299,868,Texas Hold 'Em Poker,GBA,2004,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61
3282,868,Formula 1: Championship Edition,PS3,2006,Racing,Sony Computer Entertainment,0.0,0.57,0.04,0.0,0.61
3306,868,Yakuza: Dead Souls,PS3,2011,Shooter,Sega,0.09,0.07,0.42,0.03,0.61
3285,868,SingStar Singalong With Disney,PS2,2008,Misc,Sony Computer Entertainment,0.0,0.04,0.0,0.57,0.61
3286,868,NHL 16,PS4,2015,Sports,Electronic Arts,0.35,0.15,0.0,0.11,0.61
3295,868,New Carnival Games,Wii,2010,Misc,Take-Two Interactive,0.35,0.21,0.0,0.05,0.61
3294,868,Dora the Explorer: Super Spies,GBA,2004,Platform,Gotham Games,0.44,0.16,0.0,0.01,0.61
3310,868,Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04,0.61
3367,869,PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6000000000000001
3359,869,Tomb Raider (2013),XOne,2014,Action,Square Enix,0.34,0.21,0.0,0.05,0.6000000000000001
3360,869,Mickey's Speedway USA,N64,2000,Racing,Nintendo,0.37,0.08,0.14,0.01,0.6000000000000001
3365,869,From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,0.0,0.0,0.56,0.04,0.6000000000000001
3366,869,BeatMania Append 3rdMix,PS,1998,Simulation,Konami,0.0,0.0,0.56,0.04,0.6000000000000001
3405,869,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.6000000000000001
3394,869,Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,Square Enix,0.23,0.11,0.23,0.03,0.6000000000000001
3370,869,Xena: Warrior Princess,PS,1998,Adventure,Electronic Arts,0.33,0.23,0.0,0.04,0.6000000000000001
3393,869,Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.6000000000000001
3422,869,Skate it,Wii,2008,Sports,Electronic Arts,0.51,0.04,0.0,0.05,0.6000000000000001
3373,869,NHL 11,PS3,2010,Sports,Electronic Arts,0.4,0.13,0.0,0.07,0.6000000000000001
3375,869,Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.6000000000000001
3385,869,London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.07,0.46,0.0,0.07,0.6000000000000001
3386,869,Beijing 2008,X360,2008,Sports,Sega,0.15,0.38,0.0,0.07,0.6000000000000001
3396,869,Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,0.17,0.28,0.05,0.1,0.6000000000000001
3345,869,Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6000000000000001
3389,869,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Sports,Konami,0.0,0.0,0.56,0.04,0.6000000000000001
3415,869,Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.6000000000000001
3407,869,Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,Universal Interactive,0.46,0.12,0.0,0.02,0.6000000000000001
3371,869,Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.55,0.01,0.0,0.04,0.6000000000000001
3303,869,pro evolution soccer 2011,X360,2010,Sports,Konami,0.09,0.44,0.0,0.07,0.6000000000000001
3344,869,Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.36,0.19,0.0,0.05,0.6000000000000001
3304,869,New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.24,0.17,0.14,0.05,0.6000000000000001
3329,869,Littlest Pet Shop: Jungle,DS,2008,Simulation,Electronic Arts,0.34,0.2,0.0,0.06,0.6000000000000001
3333,869,New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,0.11,0.14,0.33,0.02,0.6000000000000001
3332,869,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.6000000000000001
3324,869,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.6000000000000001
3323,869,Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,0.33,0.21,0.0,0.06,0.6000000000000001
3311,870,Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.6
3383,870,Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,0.29,0.23,0.0,0.08,0.6
3380,870,Dai-2-Ji Super Robot Taisen Alpha,PS2,2003,Strategy,Banpresto,0.0,0.0,0.6,0.0,0.6
3377,870,Major League Baseball 2K7,PS2,2007,Sports,Spike,0.29,0.23,0.0,0.08,0.6
3376,870,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.26,0.24,0.0,0.1,0.6
3325,870,Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,0.43,0.16,0.0,0.01,0.6
3326,870,Madden NFL 2000,N64,1999,Sports,Electronic Arts,0.58,0.02,0.0,0.0,0.6
3372,870,Front Mission,SNES,1995,Strategy,SquareSoft,0.0,0.0,0.6,0.0,0.6
3328,870,Game & Watch Gallery 4,GBA,2002,Misc,Nintendo,0.43,0.16,0.0,0.01,0.6
3313,870,SimCity DS,DS,2007,Simulation,Electronic Arts,0.33,0.03,0.21,0.03,0.6
3368,870,XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6
3379,870,The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,0.29,0.22,0.0,0.09,0.6
3400,870,Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0.0,0.08,0.6
3355,870,Avatar: The Game,PSP,2009,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6
3356,870,Jaws Unleashed,PS2,2006,Action,THQ,0.5,0.02,0.0,0.08,0.6
3343,870,NBA 2K8,PS2,2007,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6
3341,870,MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,0.0,0.0,0.6,0.0,0.6
3340,870,Fight Night Round 2,XB,2005,Fighting,Electronic Arts,0.42,0.16,0.0,0.02,0.6
3350,870,Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.25,0.04,0.09,0.6
3352,870,Suikoden,PS,1995,Role-Playing,Konami,0.21,0.14,0.21,0.04,0.6
3353,870,Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6
3354,870,Rayman Arena,PS2,2001,Racing,Ubisoft,0.29,0.23,0.0,0.08,0.6
3363,870,NASCAR Heat 2002,PS2,2001,Racing,Infogrames,0.29,0.23,0.0,0.08,0.6
3317,870,Final Fantasy IV Advance,GBA,2005,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.6
3357,870,Puyo Puyo Sun,SAT,1997,Puzzle,Compile,0.0,0.0,0.6,0.0,0.6
3358,870,Half-Life,PS2,2001,Shooter,Activision Blizzard,0.29,0.23,0.0,0.08,0.6
3337,870,Shadow The Hedgehog,PS2,2005,Platform,Sega,0.5,0.02,0.0,0.08,0.6
3336,870,Monster Trucks,GBA,2004,Racing,Majesco Entertainment,0.43,0.16,0.0,0.01,0.6
3361,870,International Superstar Soccer 64,N64,1997,Sports,Konami,0.09,0.26,0.23,0.02,0.6
3334,870,Tony Hawk's Underground,GBA,2003,Sports,Activision,0.43,0.16,0.0,0.01,0.6
3417,871,SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.39,0.14,0.02,0.04,0.5900000000000001
3418,871,NHL 12,PS3,2011,Sports,Electronic Arts,0.36,0.16,0.0,0.07,0.5900000000000001
3419,871,Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.5900000000000001
3410,871,Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.53,0.02,0.0,0.04,0.5900000000000001
3414,871,Payday 2,X360,2013,Shooter,505 Games,0.33,0.21,0.0,0.05,0.5900000000000001
3424,871,Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.5900000000000001
3423,871,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.18,0.0,0.05,0.5900000000000001
3411,871,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,0.52,0.03,0.0,0.04,0.5900000000000001
3445,871,Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,0.53,0.02,0.0,0.04,0.5900000000000001
3425,871,Lost: Via Domus,X360,2008,Action,Ubisoft,0.18,0.34,0.0,0.07,0.5900000000000001
3432,871,Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.5900000000000001
3437,871,Mega Man X7,PS2,2003,Action,Capcom,0.22,0.17,0.14,0.06,0.5900000000000001
3438,871,Top Spin 3,Wii,2008,Action,Take-Two Interactive,0.15,0.37,0.0,0.07,0.5900000000000001
3490,871,Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,0.45,0.12,0.0,0.02,0.5900000000000001
3443,871,Tokimeki Memorial: Forever with You,PS,1995,Simulation,Konami,0.0,0.0,0.55,0.04,0.5900000000000001
3444,871,Diablo,PS,1997,Role-Playing,Electronic Arts,0.29,0.19,0.07,0.04,0.5900000000000001
3406,871,MVP Baseball 2004,XB,2004,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.5900000000000001
3447,871,Q*bert,Atari 2600,1982,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.5900000000000001
3451,871,Trivial Pursuit,Wii,2009,Misc,Electronic Arts,0.21,0.31,0.0,0.07,0.5900000000000001
3455,871,Rayman Origins,Wii,2011,Platform,Ubisoft,0.23,0.29,0.0,0.07,0.5900000000000001
3470,871,Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.5900000000000001
3408,871,Smurf: Rescue In Gargamel's Castle,Atari 2600,1981,Action,Coleco,0.55,0.03,0.0,0.01,0.5900000000000001
3404,871,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0.28,0.0,0.07,0.5900000000000001
3374,871,Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.38,0.16,0.0,0.05,0.5900000000000001
3399,871,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami,0.0,0.0,0.55,0.04,0.5900000000000001
3391,871,CyberTiger,PS,1998,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.5900000000000001
3392,871,Jampack Fall 2001,PS,2001,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.5900000000000001
3388,871,Jeopardy!,Wii,2010,Misc,THQ,0.56,0.0,0.0,0.03,0.5900000000000001
3395,871,Iron Man,Wii,2008,Action,Sega,0.31,0.22,0.0,0.06,0.5900000000000001
3397,871,NFL Blitz 2001,PS,2000,Sports,Midway Games,0.33,0.22,0.0,0.04,0.5900000000000001
3364,871,Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,0.32,0.23,0.0,0.04,0.5900000000000001
3369,871,Blur,X360,2010,Racing,Activision,0.25,0.28,0.0,0.06,0.5900000000000001
3382,871,Dead Space,PC,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.5900000000000001
3381,871,Pokemon Trozei!,DS,2005,Puzzle,Nintendo,0.26,0.0,0.31,0.02,0.5900000000000001
3378,871,Asphalt: Urban GT,DS,2004,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.5900000000000001
3403,871,BurgerTime,Atari 2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.5900000000000001
3342,871,The Golden Compass,DS,2007,Action,Sega,0.28,0.25,0.0,0.06,0.5900000000000001
3384,872,Rayman Origins,PSV,2012,Platform,Ubisoft,0.13,0.35,0.0,0.11,0.59
3435,872,Kirby's Dream Course,SNES,1994,Sports,Nintendo,0.0,0.0,0.59,0.0,0.59
3453,872,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.02,0.18,0.0,0.39,0.59
3449,872,The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,Electronic Arts,0.49,0.02,0.0,0.08,0.59
3430,872,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0.0,0.09,0.59
3429,872,Ben 10: Alien Force,PSP,2008,Action,Koch Media,0.35,0.14,0.0,0.1,0.59
3387,872,Dai-3-Ji Super Robot Taisen Alpha: Shuuen no Ginga e,PS2,2005,Strategy,Banpresto,0.0,0.0,0.59,0.0,0.59
3390,872,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59
3351,872,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.37,0.0,0.1,0.59
3402,872,LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,Activision,0.21,0.24,0.0,0.14,0.59
3420,872,Silent Hill: Shattered Memories,PS2,2010,Action,Konami,0.13,0.22,0.01,0.23,0.59
3398,872,Total War: Shogun 2,PC,2011,Strategy,Sega,0.19,0.31,0.0,0.09,0.59
3401,872,Yakuza 5,PS3,2012,Action,Sega,0.0,0.0,0.59,0.0,0.59
3416,872,Tales of Rebirth,PS2,2004,Role-Playing,Namco Bandai Games,0.0,0.0,0.59,0.0,0.59
3426,872,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0.0,0.08,0.59
3412,872,Extreme-G,N64,1997,Racing,Acclaim Entertainment,0.47,0.11,0.0,0.01,0.59
3413,872,Ready 2 Rumble Boxing,N64,1999,Sports,Midway Games,0.47,0.11,0.0,0.01,0.59
3476,873,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,0.25,0.0,0.31,0.02,0.5800000000000001
3484,873,Phoenix Wright: Ace Attorney - Justice for All,DS,2006,Adventure,Capcom,0.24,0.05,0.26,0.03,0.5800000000000001
3486,873,Rock Band 3,PS3,2010,Misc,MTV Games,0.43,0.09,0.0,0.06,0.5800000000000001
4598,873,SpongeBob's Truth or Square,DS,2009,Action,THQ,0.5,0.07,0.0,0.01,0.5800000000000001
3471,873,Tales of Phantasia,PS,1998,Role-Playing,Namco Bandai Games,0.0,0.0,0.54,0.04,0.5800000000000001
3480,873,Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,0.32,0.22,0.0,0.04,0.5800000000000001
3477,873,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.5800000000000001
3472,873,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,0.33,0.22,0.0,0.03,0.5800000000000001
